longitud,latitud,Enotourism,valoracion,n_valoraciones,esta_trip,total_visits_similar,Antiguedad.empresa,Tamaño,Productividad,Rentabilidad
-2.6158988,42.5142511,1,4.6,51.0,1,5200.0,50,1.22679865215977,-0.847538628386689,0.165800694890776
-2.43549,42.50048,0,,,0,3600.0,39,-0.904701789365194,-0.0985375369429324,-0.34714363836101
-2.58600623,42.5585806,1,,,0,7400.0,39,1.85376095705894,-1.22724686528989,0.0995761350690026
-2.57596,42.49195,1,4.8,14.0,0,2300.0,36,-0.127744277136372,0.356081710887153,-0.54989871340753
-2.678737,42.569952,0,4.6,324.0,0,8700.0,27,3.63770698735956,-1.14628465187545,0.0169292179744176
-2.14125,39.1953,0,4.7,16.0,0,3500.0,35,0.137460407714118,-0.0215248783919618,0.0833101556890828
-1.85541,38.99342,0,4.9,86.0,0,8800.0,24,0.860640845872368,-0.955947323573801,0.292653908947264
-1.47117,39.28884,1,4.9,219.0,1,8200.0,15,-0.300077581860829,0.023730135425801,-0.0018016975504183
-4.0991923,41.6399441,1,4.7,121.0,1,18500.0,26,1.18535014006895,-0.221036499474121,-0.211887979160801
-6.270168,38.794107,0,4.7,46.0,0,5800.0,24,-0.513311389695888,-1.49059834813732,-0.476406850195675
1.79042,41.42585,1,4.5,344.0,0,5100.0,67,-1.02162718058073,0.0163168331210739,0.050984684797471
1.91771682,41.33833344,0,,,0,571.0,55,-1.49381074428416,-0.0123248128149865,0.284321060895139
1.97121783,41.8633943,1,5.0,1.0,0,1900.0,51,1.80746589852583,-1.46729147647664,0.362197488976122
1.7031,41.34312,1,4.4,86.0,1,13900.0,45,6.71551515004577,-2.88127293732613,0.318181496679065
1.787123,41.425243,0,4.9,268.0,1,16200.0,45,4.90953417049299,-1.83236874918221,1.06623440187327
1.61013292,41.29830862,1,4.7,81.0,1,2900.0,40,0.144090469358967,0.292711823254863,0.337708154677369
1.6324,41.34476,0,,,0,252.0,40,-1.27045197242997,-0.732533949734966,-0.900223947387929
1.6003025,41.31433671,0,,,0,8900.0,39,4.84193332715398,-0.679959690571432,0.0034626817230826
-1.47479,41.76167,1,4.5,171.0,1,15100.0,40,7.00680162839133,-2.24682138041833,-0.459885004379893
-3.686687,41.726664,0,3.5,13.0,0,,36,-0.975312266802833,-0.59683639760462,-0.24609223560935
-3.8752323,41.7402299,1,3.8,10.0,0,7100.0,36,-0.790377354406415,0.0832851794435967,-0.25506624482034
-3.825,41.77619,0,4.8,17.0,0,3200.0,36,1.04571441004746,2.19362196925175,-0.877595383304039
-3.488708,41.62959589,0,4.7,26.0,0,3500.0,27,0.167799887596571,-0.0795543889094817,0.262030664414
-5.38964,39.38392,1,4.8,238.0,1,6300.0,35,0.657794541577466,-0.359536402284555,0.522116427734949
-6.35565,36.77951,0,4.7,507.0,1,5400.0,101,4.4809636745954,-0.641849165255637,0.850085901185956
-6.35682065,36.77024768,0,4.8,212.0,0,7400.0,69,-0.0328872700207963,-1.47824161496342,-0.290684436228982
-6.35551,36.77706,1,,,0,387.0,81,-2.17764681568327,-1.64609994891293,0.395577342755919
-6.36013,36.77655,1,4.8,18.0,0,4600.0,61,1.16264102856295,-1.27767386787252,0.872278999769415
-6.13915,36.67872,1,4.8,60.0,1,6700.0,94,-0.376339535618365,1.42740288066811,-0.294853719903562
-6.12612,36.71057,1,,,0,5500.0,36,-1.12077888837896,0.0306955480318277,-0.0400375120593456
-4.16009978,41.63993092,0,4.8,27.0,0,3200.0,27,5.89152091877624,3.28675543721675,0.412623555759123
-3.02876,39.14995,0,,,0,4300.0,80,-1.56421629199381,-0.772471867635312,-0.055111389417978
-3.38182,38.75907,1,,,0,38400.0,42,-1.33989962363453,0.318797912789122,0.0352721028192152
-3.39074,38.76137,0,4.8,5.0,0,,41,-1.91240701915395,-0.978878628574393,0.094939409410939
-3.02878,39.16721,1,4.7,17.0,0,952.0,33,-0.143900960857412,-0.411320253216106,0.103818211060886
-4.64487,37.58003,0,4.7,284.0,0,5800.0,82,3.86379369615802,-1.99672323699658,0.257225264983578
-4.64947,37.58003,0,4.7,231.0,1,2600.0,80,5.62659053562138,-0.954549164652467,0.946647906842483
-4.64584,37.57837,0,,,0,8300.0,58,0.080319352601994,-0.671925934811791,0.233245871677839
-8.51727,42.80713,0,,,0,,37,-1.33904373386992,-0.0892217780098153,0.126011193892527
3.06510664,42.34026123,0,4.5,23.0,0,1200.0,50,-0.0681526467546417,0.42320966733802,0.130905683732857
2.91969,42.37546,1,,,0,3600.0,39,0.696469421923192,2.32540194238473,-0.602440645322136
2.91859,42.37516,1,4.7,157.0,1,3600.0,39,2.43470346024089,-0.141180975245878,0.804893602492852
-2.16347,43.28801,1,,,0,6600.0,19,-1.10665157838859,-1.07948217453347,0.0049691592339002
0.1527946,42.06735885,1,4.9,159.0,1,,39,-1.52991729469899,-0.793865484813352,0.187068471126929
-5.58475,42.58613,1,4.5,24.0,0,3400.0,58,1.29549810920619,-1.29634055967165,0.225308464930738
-6.81599,42.60639,1,4.7,3.0,0,,39,1.89541713614699,1.12620950932595,0.342495970743824
-6.81442,42.604426,0,,,0,648.0,39,-1.6934013107213,-1.19211858973836,0.0896775193136162
-5.58475,42.58613,0,,,0,1800.0,37,3.09069892449718,0.0400444346675398,-0.712203598911629
-6.72596731,42.5995674,0,4.8,8.0,0,1200.0,34,-0.744926329180945,0.306715250317457,-0.065240961353404
-5.4019571,42.1344839,1,4.8,469.0,0,8000.0,29,1.60827037850952,-0.0004652372893159,0.732871308175563
-6.46529,42.62003,1,4.8,20.0,0,10000.0,24,0.545173750606889,-0.728355450652955,-0.0481980828928998
1.14169026,41.64143308,1,4.5,55.0,0,11500.0,50,1.06853208161219,-0.610056484241192,0.166069321565646
-2.84581519,42.5780568,1,4.6,235.0,1,,101,3.90594756279572,-2.60443722884867,0.237346932341967
-2.64031,42.48107,0,4.8,581.0,1,9100.0,94,14.2303039425662,-5.44619291290291,0.897340025936147
-2.56089,42.4283,1,4.8,178.0,1,4600.0,52,-0.574687052170502,-3.61291436705017,-1.11238853003832
-2.44696,42.47235,1,4.6,1589.0,1,19900.0,49,11.2903897920428,-1.27764846764302,0.326650948776995
-2.56394,42.46701,0,5.0,1.0,0,,47,-1.88225504322749,-1.49118765604015,-0.27625358231964
-2.76044,42.56367,0,,,0,23800.0,41,4.56075951732537,0.757964211660353,0.326059326754056
-2.42207,42.47222,0,4.6,14.0,0,26800.0,39,10.1872061427967,-2.45203681010835,-0.234300798565755
-1.75576,42.17787,1,4.3,3.0,0,6500.0,37,5.43419245309283,1.94177080825741,0.613718927816524
-2.76005,42.56887,0,4.6,17.0,0,23800.0,33,1.19414407053488,2.2496313491755,-0.417866261151346
-2.82164547,42.5502833,1,4.9,140.0,1,10100.0,26,-0.150619254933793,0.498455124395944,-0.330379845051876
-2.58739,42.46245,1,4.9,166.0,1,23400.0,26,4.17486193146252,-2.06764294393608,-0.17787799787472
-2.8270961,42.53960942,1,,,0,13400.0,25,1.33295800019519,0.48929968194912,-0.11775125714304
-7.63984,42.58385,1,,,0,10900.0,36,0.917260225130183,-0.987225776788354,0.50487877956783
-4.284948,41.627701,0,,,0,5400.0,84,23.5297713045255,-8.04533547452704,1.8062523483381
-3.76523,40.45113,0,,,0,3500.0,53,-1.14187952226454,-0.452514663939537,0.177404185771578
-8.372,43.3397,0,3.0,1.0,0,,50,1.25282921823231,4.33237849391204,0.539293543605733
-3.68909,40.46082,1,,,0,2600.0,46,0.997065357258625,0.237002605787851,-0.2663812620407
-1.32437,38.47891,0,4.6,54.0,0,4600.0,41,3.05848124323701,0.573891346684567,0.685866435831513
-2.37612,42.51203,1,4.8,60.0,0,7300.0,72,3.53331194599227,-1.46921253618043,-0.133595269704661
-1.79888,42.11089,0,4.8,26.0,0,7600.0,36,0.714104827734897,0.442101858355412,0.0646898359089662
-1.89044,42.30338,1,,,0,8700.0,28,4.86481029618254,1.31142473588448,-1.19261686978369
-8.13198713,42.31499638,0,,,0,,40,-0.675574509924805,-0.101643399453384,0.0251175060183347
-7.098008,42.396415,0,,,0,4400.0,36,0.835471251229451,0.10120491272661,0.0595518512635867
-7.84297686,42.36227323,0,,,0,10600.0,25,3.67091662608383,1.21363267978437,-0.305335747181821
-7.8674242,42.3436415,0,,,0,1500.0,16,2.40718967736506,0.751805976153356,-1.44092479080693
-4.11976,41.59982,1,4.9,22.0,0,4300.0,24,1.56665057732511,0.758972164318677,-0.396452112014291
-13.6473527,29.00113617,1,,,0,17400.0,43,4.276372394835,-0.212654260162289,1.05961301352201
-8.77893756,42.5383052,1,4.8,345.0,0,9800.0,39,1.30060900562565,-0.5852966858881,0.0712551247098983
